Date,Open,High,Low,Close,Adj Close,Volume,R3,S3
13-04-2023,11850,11916,11792,11916,11839.48731,1407991,11950.1,11881.9
14-04-2023,11950,11990,11878,11892,11815.6416,1644644,11922.8,11861.2
17-04-2023,11878,11932,11820,11824,11748.07813,1092430,11854.8,11793.2
18-04-2023,11914,12392,11860,12040,11962.69043,2047219,12186.3,11893.7
19-04-2023,11994,12037.04004,11948,11992,11914.99902,1072912,12016.48601,11967.51399
20-04-2023,11976,12056,11941.44043,12010,11932.88379,2691006,12041.50388,11978.49612
21-04-2023,12022,12232,12022,12186,12107.75293,1604980,12243.75,12128.25
24-04-2023,12152,12202,12122.06641,12164,12085.89453,1344950,12185.98174,12142.01826
25-04-2023,12112,12348,12112,12294,12215.05957,1694844,12358.9,12229.1
26-04-2023,12164,12210,11778,11844,11767.94922,3561383,11962.8,11725.2
27-04-2023,11910,12146,11754,11796,11720.25781,1400645,11903.8,11688.2
28-04-2023,11816,11856,11640,11746,11670.57813,1622067,11805.4,11686.6
02-05-2023,11726,11856,11652,11774,11698.39844,1794124,11830.1,11717.9
03-05-2023,11844,11904.90039,11778,11884,11807.69238,1005207,11918.89761,11849.10239
04-05-2023,11842,11878,11756,11850,11773.91113,1292780,11883.55,11816.45
05-05-2023,11874,11922,11714,11922,11845.44824,877124,11979.2,11864.8
09-05-2023,11956,11956,11786,11914,11837.5,1685343,11960.75,11867.25
10-05-2023,11836,11846,11752,11820,11744.10352,1262452,11845.85,11794.15
11-05-2023,11882,12002,11868,11924,11847.43555,2240297,11960.85,11887.15
12-05-2023,11958,12090,11922,12010,11932.88379,1550380,12056.2,11963.8
15-05-2023,12050,12070,11974,12000,11922.94727,776116,12026.4,11973.6
16-05-2023,12042,12102,11992,12070,11992.49805,1187703,12100.25,12039.75
17-05-2023,12120,12184,11866,11924,11847.43555,1555565,12011.45,11836.55
18-05-2023,11970,12096,11970,11978,11901.08887,1230986,12012.65,11943.35
19-05-2023,12026,12076,11936.01563,12010,11932.88379,1312211,12048.4957,11971.5043
22-05-2023,12064,12108,11994,12036,11958.7168,1774287,12067.35,12004.65
23-05-2023,11970,12186,11942,12034,11956.72949,1644235,12101.1,11966.9
24-05-2023,11878,11932,11687.09863,11794,11718.27051,2075369,11861.34788,11726.65212
25-05-2023,11756,11822,11590,11642,11567.24609,1076348,11705.8,11578.2
26-05-2023,11690,11832,11636,11784,11708.33496,1441890,11837.9,11730.1
30-05-2023,11780,11840,11498,11498,11424.1709,1980999,11592.05,11403.95
31-05-2023,11466,11766,11464,11660,11585.13086,4150407,11743.05,11576.95
01-06-2023,11726,11781.59961,11520,11670,11595.06641,1609544,11741.93989,11598.06011
02-06-2023,11636,11754,11530,11748,11672.56543,1544750,11809.6,11686.4
05-06-2023,11722,11818,11692,11794,11718.27051,927474,11828.65,11759.35
06-06-2023,11770,11934,11752,11832,11756.02637,1508766,11882.05,11781.95
07-06-2023,11780,11876,11671.09863,11754,11678.52734,1227113,11810.34788,11697.65212
08-06-2023,11754,11784,11653.28027,11750,11674.55273,1399930,11785.94792,11714.05208
09-06-2023,11858,11868,11710,11712,11636.79688,950706,11755.45,11668.55
12-06-2023,11846,11858,11668,11830,11754.03906,1391951,11882.25,11777.75
