Date,Open,High,Low,Close,Adj Close,Volume,R3,S3
11/08/20,107.019997,112.239998,106.879997,111.760002,101.049782,39001421,113.2340023,110.2860017
12/08/20,112.300003,112.940002,111.160004,111.5,100.814705,29669867,111.9894995,111.0105006
13/08/20,110.5,111.68,108.080002,108.080002,97.722443,21609203,109.0700015,107.0900026
14/08/20,108.32,109.440002,105.540001,109.199997,98.735115,31089405,110.2724973,108.1274967
17/08/20,108.660004,110.860001,107.919998,107.940002,97.595863,24990890,108.7485028,107.1315012
18/08/20,107.300003,110.68,106.519997,108.120003,97.758614,25067936,109.2640038,106.9760022
19/08/20,107.5,110.199997,107.059998,110.199997,99.639275,18545911,111.0634967,109.3364973
20/08/20,107.980003,108.519997,106.540001,107.580002,97.27037,24819348,108.1245009,107.0355031
21/08/20,107.400002,108.400002,106.139999,108,97.650116,34233555,108.6215008,107.3784992
24/08/20,108.739998,110.400002,106.18,110.400002,99.820114,26568183,111.5605026,109.2395015
25/08/20,111.040001,112.459999,108.998001,109.139999,98.680862,28228370,110.0920485,108.1879496
26/08/20,109.379997,110.739998,108.260002,110.400002,99.820114,27591235,111.0820009,109.7180031
27/08/20,109.760002,111.829002,109.68,110.540001,99.946693,20808450,111.1309766,109.9490255
28/08/20,111.279999,112.794998,110.599998,111.959999,101.230614,37493134,112.563624,111.356374
01/09/20,110.419998,111.160004,105.860001,105.900002,95.751366,60998790,107.3575028,104.4425012
02/09/20,106.040001,107.419998,103.18,103.5,93.581352,47192541,104.6659995,102.3340006
03/09/20,104.260002,108.300003,103.945999,105.559998,95.443947,29996389,106.7573491,104.3626469
04/09/20,105.040001,108.580002,104.940002,106.879997,96.637436,30751373,107.880997,105.878997
07/09/20,107.599998,108.699997,106.260002,106.940002,96.691696,14729583,107.6110006,106.2690034
08/09/20,106.980003,108.019997,103.599998,104.279999,94.286606,36782017,105.4954987,103.0644993
09/09/20,103.019997,104.879997,102.360001,104.879997,94.829109,43584298,105.5729959,104.1869981
10/09/20,103.800003,106.300003,102.559998,105.040001,94.973785,29812789,106.0685024,104.0114996
11/09/20,104.980003,104.980003,102.584,102.620003,92.785683,21647791,103.2789038,101.9611022
14/09/20,103.400002,103.900002,102.199997,103.620003,93.689865,17394692,104.0875044,103.1525016
15/09/20,103.220001,103.580002,102.220001,102.639999,92.803764,28600393,103.0139993,102.2659987
16/09/20,102.400002,103.400002,100.540001,102.959999,93.093094,27509156,103.7464993,102.1734987
17/09/20,101.080002,101.32,99,100.540001,90.905014,46856482,101.178001,99.902001
18/09/20,99.660004,100.199997,97.419998,97.419998,88.084015,73544325,98.18449773,96.65549828
21/09/20,96.040001,96.669998,88.900002,92.160004,83.328087,78895072,94.2967529,90.0232551
22/09/20,92.75,94.110001,91.400002,91.970001,83.156296,40473692,92.71525073,91.22475128
23/09/20,93.190002,96.199997,92.246002,92.900002,83.997169,40643007,93.98735063,91.81265338
24/09/20,90.769997,95.050003,90.739998,92.870003,83.970039,43704705,94.05525438,91.68475163
25/09/20,94.239998,94.629997,91.129997,91.550003,82.77655,33180100,92.512503,90.587503
28/09/20,93.5,98.440002,92.910004,98,88.608437,48500179,99.52074945,96.47925055
29/09/20,97.110001,98.279999,96.309998,97.25,87.930298,38484870,97.79175028,96.70824973
30/09/20,96.580002,99.540001,95.848999,97.610001,88.255806,41223431,98.62502655,96.59497545
01/10/20,98.839996,99.910004,96.900002,98,88.608437,39991603,98.82775055,97.17224945
02/10/20,97.480003,98.300003,96.489998,97.709999,88.346222,35973115,98.20775038,97.21224763
05/10/20,99.699997,100.68,98.080002,99.449997,89.919479,80935616,100.1649965,98.73499755
06/10/20,100.879997,104.18,99.82,104.18,94.19619,61172964,105.379,102.981
07/10/20,103.839996,107.459999,103.419998,104.5,94.485519,72284882,105.6110003,103.3889997
08/10/20,105.440002,107.778999,104.419998,107.099998,96.836372,36922959,108.0237233,106.1762727
09/10/20,107.940002,109,106.540001,107.279999,96.999107,50394313,107.9564987,106.6034993
12/10/20,107.279999,108,105.419998,105.839996,95.697098,29455602,106.5494966,105.1304955
13/10/20,106.440002,106.440002,101.720001,102.099998,92.315514,55347707,103.3979983,100.8019977
14/10/20,101.839996,103.68,100.82,101.540001,91.809181,32678409,102.326501,100.753501
15/10/20,100.5,100.769997,97.980003,100.120003,90.525269,36727928,100.8872514,99.35275465
16/10/20,101.199997,102.639999,99,101.800003,92.044266,37486411,102.8010027,100.7990033
19/10/20,102.5,104.080002,101.120003,103.360001,93.454773,22865749,104.1740007,102.5460013
20/10/20,102.339996,105.199997,102.339996,104.32,94.322777,28477306,105.1065003,103.5334997
21/10/20,104.919998,106,102.639999,102.720001,92.876106,37940575,103.6440013,101.7960007
22/10/20,101.379997,104.919998,100.660004,104.279999,94.286606,31440511,105.4514974,103.1085007
23/10/20,108.5,113.300003,106.540001,111.540001,100.850861,97495567,113.3990016,109.6810005
26/10/20,110.540001,114.379997,106.540001,110.519997,99.928612,52191345,112.6759959,108.3639981
27/10/20,112.620003,113,106.599998,106.599998,96.384277,52849727,108.3599986,104.8399975
28/10/20,104.459999,106.580002,101.160004,103.800003,93.852608,62752208,105.2905025,102.3095036
29/10/20,104.440002,106.800003,102.080002,104.660004,94.630196,44813216,105.9580043,103.3620037
30/10/20,104.220001,107.699997,104,106.559998,96.348106,37873402,107.5774972,105.5424988
02/11/20,107.019997,107.139999,104.622002,107.040001,96.782104,44537297,107.7324502,106.3475518
03/11/20,108.220001,113.760002,108.220001,113.360001,102.496437,57652142,114.8835013,111.8365007
04/11/20,111.839996,113.040001,108.519997,110.379997,99.802025,49682057,111.6229981,109.1369959
05/11/20,110.68,112.252998,106.760002,110.160004,99.603119,53515927,111.6705779,108.6494301
06/11/20,111.059998,113.400002,110,110.940002,100.308372,68836974,111.8750026,110.0050015
09/11/20,112.040001,129.619995,111.660004,128.539993,116.22171,138499150,133.4789905,123.6009955
10/11/20,129.139999,136,127.620003,134.399994,121.520126,144498633,136.7044932,132.0954948
11/11/20,134.080002,137.119995,131.460007,135.520004,122.532806,92506383,137.0765007,133.9635073
12/11/20,133.479996,133.960007,129.639999,132.360001,119.675636,68867988,133.5480032,131.1719988
13/11/20,131.220001,135.699997,129.679993,134.160004,121.303139,45650523,135.8155051,132.5045029
16/11/20,136.119995,138.880005,135.539993,138.779999,125.480392,71349413,139.6985023,137.8614957
17/11/20,139.880005,139.880005,134.996002,138.399994,125.136803,79501678,139.7430948,137.0568932
18/11/20,137.559998,142.179993,135.820007,141.600006,128.030151,52441640,143.3490022,139.8510099
19/11/20,136.100006,139.899994,136.100006,138.940002,125.625053,37442579,139.9849987,137.8950053
20/11/20,138.179993,139.600006,137.399994,137.759995,124.558144,30600035,138.3649983,137.1549917
23/11/20,139.279999,140.860001,138.240005,140.199997,126.764297,63641880,140.9204959,139.4794981
24/11/20,142,150.259995,141.320007,150.199997,135.805984,78845811,152.6584937,147.7415003
25/11/20,152.5,152.5,141.720001,143.399994,129.657623,72137852,146.3644937,140.4354943
26/11/20,143.240005,143.619995,137.860001,141.100006,127.578064,34544240,142.6840044,139.5160077
27/11/20,139,140.720001,137.720001,139.5,126.131386,77855252,140.325,138.675
30/11/20,140.039993,140.039993,134.559998,134.559998,121.66481,66657521,136.0669966,133.0529994
01/12/20,134.899994,143.479996,133.600006,143.240005,129.512985,51536659,145.9570023,140.5230078
02/12/20,142.779999,146.940002,141.639999,146.940002,132.858414,46385964,148.3975028,145.4825012
