Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,1416.199951,1426.400024,1414.052002,1423.599976,1368.050049,5054221
2023-03-28,1433.800049,1436.599976,1417.400024,1421.000000,1365.551514,8961543
2023-03-29,1420.000000,1426.000000,1413.000000,1420.599976,1365.166992,4905504
2023-03-30,1416.400024,1421.598999,1412.599976,1420.000000,1364.590454,3354007
2023-03-31,1425.000000,1438.400024,1419.599976,1429.000000,1373.239380,8841555
2023-04-03,1434.199951,1442.400024,1427.400024,1439.400024,1383.233643,9555457
2023-04-04,1448.199951,1463.425049,1443.800049,1449.000000,1392.458984,11657719
2023-04-05,1450.199951,1488.800049,1445.199951,1487.199951,1429.168335,6997365
2023-04-06,1495.000000,1531.000000,1492.599976,1523.000000,1463.571411,7088057
2023-04-11,1517.000000,1527.599976,1501.199951,1506.400024,1447.619263,15767636
2023-04-12,1507.400024,1524.400024,1503.000000,1512.599976,1453.577148,5951360
2023-04-13,1515.000000,1524.400024,1507.000000,1522.400024,1462.994873,10434873
2023-04-14,1528.400024,1533.599976,1513.400024,1515.000000,1455.883667,14181331
2023-04-17,1520.199951,1522.782959,1504.000000,1511.800049,1452.808350,4719892
2023-04-18,1517.800049,1517.800049,1484.000000,1484.000000,1426.093140,6743744
2023-04-19,1479.599976,1491.400024,1476.199951,1485.800049,1427.823120,3389343
2023-04-20,1477.800049,1482.199951,1467.000000,1470.800049,1413.408447,4190281
2023-04-21,1463.400024,1486.000000,1463.400024,1471.199951,1413.792725,6483697
2023-04-24,null,null,null,null,null,null
2023-04-25,1466.400024,1503.000000,1461.687012,1500.199951,1441.661133,6611974
2023-04-26,1494.000000,1521.199951,1437.000000,1442.199951,1385.924316,10203942
2023-04-27,1447.400024,1477.000000,1432.000000,1437.000000,1380.927124,5941250
2023-04-28,1426.800049,1447.599976,1426.800049,1441.000000,1384.771118,6085837
2023-05-02,1446.400024,1467.000000,1439.800049,1455.199951,1398.417114,25862592
2023-05-03,1457.400024,1475.800049,1456.407959,1470.599976,1413.216187,6707774
2023-05-04,1454.400024,1473.599976,1453.000000,1466.199951,1408.987671,7476904
2023-05-05,1463.599976,1470.199951,1444.199951,1462.400024,1405.336060,3966591
2023-05-09,1459.000000,1465.599976,1424.599976,1446.199951,1389.768188,9063151
2023-05-10,1439.599976,1448.000000,1434.599976,1436.400024,1380.350586,5448802
2023-05-11,1450.800049,1461.099976,1437.199951,1444.800049,1388.422852,4364564
2023-05-12,1450.400024,1485.800049,1446.723022,1470.199951,1412.831665,5109285
2023-05-15,1476.800049,1481.000000,1459.900024,1469.599976,1412.255005,3007412
2023-05-16,1470.199951,1474.400024,1456.000000,1466.000000,1408.795654,7484486
2023-05-17,1466.400024,1473.000000,1439.599976,1442.400024,1386.116577,3857190
2023-05-18,1430.599976,1442.400024,1419.599976,1423.800049,1381.652710,22506707
2023-05-19,1423.199951,1430.167969,1410.400024,1423.800049,1381.652710,5561423
2023-05-22,1425.000000,1437.000000,1419.800049,1425.800049,1383.593506,9990162
2023-05-23,1420.000000,1436.199951,1412.599976,1430.199951,1387.863159,4160515
2023-05-24,1422.199951,1423.800049,1402.800049,1408.800049,1367.096680,4977730
2023-05-25,1407.000000,1412.800049,1382.599976,1384.599976,1343.613037,4048425
2023-05-26,1384.000000,1400.800049,1380.400024,1392.199951,1350.988037,9735152
2023-05-30,1399.199951,1408.199951,1365.800049,1371.000000,1330.415649,5358345
2023-05-31,1355.400024,1363.400024,1346.400024,1346.400024,1306.543823,26328684
2023-06-01,1355.000000,1357.599976,1332.800049,1347.599976,1307.708374,7718741
2023-06-02,1346.000000,1369.599976,1336.576050,1367.599976,1327.116089,5464078
2023-06-05,1375.400024,1386.000000,1373.006958,1382.000000,1341.089966,3587622
2023-06-06,1380.400024,1399.000000,1377.442017,1391.400024,1350.211670,7050020
2023-06-07,1386.400024,1399.996948,1372.000000,1376.199951,1335.461670,5944485
2023-06-08,1375.000000,1383.800049,1369.400024,1375.199951,1334.491333,3841216
2023-06-09,1386.000000,1386.000000,1368.599976,1378.000000,1337.208374,4429486
2023-06-12,1391.599976,1392.359985,1369.884033,1373.800049,1333.132813,4062798
2023-06-13,1372.599976,1374.400024,1361.199951,1366.599976,1326.145752,10305249
2023-06-14,1365.800049,1376.199951,1359.199951,1363.400024,1323.040527,4797193
2023-06-15,1361.599976,1385.598022,1360.395996,1374.800049,1334.103149,22672543
2023-06-16,1376.199951,1390.839966,1356.199951,1364.599976,1324.204956,22338527
2023-06-19,1370.400024,1380.400024,1348.599976,1351.800049,1311.784058,3999625
2023-06-20,1346.000000,1371.000000,1346.000000,1361.599976,1321.293945,15287077
2023-06-21,1348.800049,1376.800049,1345.400024,1371.800049,1331.191895,11450042
