Date,Open,High,Low,Close,Adj Close,Volume,S3,R3
11/04/23,48.91,49.903,48.91,49.43,46.826939,189565733,49.156925,49.703075
12/04/23,49.575001,50.299999,49.474998,49.880001,47.253242,251841134,49.65312573,50.10687628
13/04/23,48.279999,48.799999,48.025002,48.505001,47.473457,163910295,48.29187683,48.71812518
14/04/23,48.345001,49.189999,48.220001,48.935001,47.894314,154711084,48.66825155,49.20175045
17/04/23,49.205002,49.330002,48.241001,48.450001,47.419628,152695130,48.15052573,48.74947628
18/04/23,48.794998,49.244999,48.695,48.825001,47.786652,100322887,48.67375128,48.97625073
19/04/23,48.785,49.380001,48.720001,49.255001,48.207508,100329243,49.073501,49.436501
20/04/23,49.57,49.834999,48.834999,49.005001,47.962822,132038364,48.730001,49.280001
21/04/23,49.549999,49.595001,48.634998,48.860001,47.820908,111401952,48.59600018,49.12400183
24/04/23,48.705002,49.365002,48.599998,48.91,47.869843,145956656,48.6996239,49.1203761
25/04/23,48.599998,48.723999,47.845001,48.23,47.204304,181788757,47.98827555,48.47172445
26/04/23,48.310001,48.685001,47.673,48.599998,47.566433,134294890,48.32169773,48.87829828
27/04/23,48.639999,49.266998,48.514999,48.82,47.781757,111447928,48.61320028,49.02679973
28/04/23,48.560001,48.616001,47.244999,48.200001,47.174942,227729312,47.82297545,48.57702655
02/05/23,48,48.755001,47.68,47.68,46.666,227428509,47.38437473,47.97562528
03/05/23,47.599998,48.055,45.299999,45.98,45.002155,359768316,45.22237473,46.73762528
04/05/23,45.904999,46.360001,45.049999,45.355,44.390446,199743764,44.99474945,45.71525055
05/05/23,45.59,46.365002,45.509998,45.810001,44.83577,177734509,45.5748749,46.0451271
09/05/23,45.779999,46.419998,45.612999,46.130001,45.148964,438134925,45.90807628,46.35192573
10/05/23,46.529999,46.84,45.900002,46.169998,45.18811,144013742,45.91149855,46.42849745
11/05/23,46.150002,46.535,45.334999,45.875,44.899387,183347019,45.54499973,46.20500028
12/05/23,46.040001,46.294998,45.560001,45.560001,44.591087,236333824,45.35787683,45.76212518
15/05/23,45.915001,46.27,45.610001,46.27,45.285988,288425062,46.08850028,46.45149973
16/05/23,46.119999,46.375,45.700001,45.700001,44.728111,236238207,45.51437628,45.88562573
17/05/23,45.5,46.294998,45.134998,46.294998,45.310455,267678810,45.975998,46.613998
18/05/23,46.849998,46.985001,46.384998,46.509998,45.520882,152617500,46.34499718,46.67499883
19/05/23,46.66,46.921001,46.445,46.720001,45.726418,143678822,46.58910073,46.85090128
22/05/23,46.775002,47.025002,46.619999,46.939999,45.941738,383664314,46.82862318,47.05137483
23/05/23,47.16,47.59,46.884998,47.59,46.577915,162101962,47.39612445,47.78387555
24/05/23,47.215,47.459999,46.599998,46.764999,45.770458,382800439,46.52849873,47.00149928
25/05/23,46.439999,47.18,45.830002,45.830002,44.855347,268083564,45.45875255,46.20125145
26/05/23,46,46.095001,45.305,45.505001,44.537258,261876412,45.28775073,45.72225128
30/05/23,45.215,46.02,44.935001,45.215,44.253422,324448861,44.91662528,45.51337473
31/05/23,45.075001,45.386002,44.169998,44.169998,43.230644,409055760,43.8355969,44.5043991
01/06/23,44.490002,45.5,44.035999,44.665001,43.715122,411702007,44.26240073,45.06760128
02/06/23,44.779999,45.501999,44.68,45.445,44.478531,120367137,45.21895028,45.67104973
05/06/23,45.764999,45.869999,44.529999,44.73,43.778736,121146438,44.3615,45.0985
06/06/23,44.564999,45.445,44.150002,45.174999,44.214272,302399488,44.81887455,45.53112345
07/06/23,45.400002,45.790001,45.112999,45.509998,44.542149,149262992,45.32382245,45.69617355
08/06/23,45.73,45.965,45.264999,45.330002,44.365978,94021170,45.13750173,45.52250228
09/06/23,45.5,45.775002,45.189999,45.264999,44.302361,97731521,45.10412318,45.42587483
12/06/23,45.404999,45.564999,44.974998,44.974998,44.018524,122260019,44.81274773,45.13724828
13/06/23,45.055,45.400002,44.755001,45.294998,44.331722,276655969,45.11762273,45.47237328
14/06/23,45.355,45.375,45.009998,45.285,44.321934,173033551,45.18462445,45.38537555
15/06/23,45.235001,45.235001,44.779999,44.955002,43.998955,173716601,44.82987645,45.08012755
16/06/23,45.110001,45.181999,44.759998,45.044998,44.087036,413600501,44.92894773,45.16104828
19/06/23,44.865002,45.139999,44.84,45.040001,44.082146,457173034,44.95750128,45.12250073
20/06/23,45,45.165001,44.759998,44.814999,43.861927,143254729,44.70362318,44.92637483
21/06/23,43.825001,44.485001,43.422001,43.744999,42.814686,216406659,43.452674,44.037324
